year,isoimp,isoexp,hs4,mtn,submtn
2009,ALB,CHL,101,MEAT,LIVA
2010,ALB,CHL,101,MEAT,LIVA
2011,ALB,CHL,101,MEAT,LIVA
2009,ALB,CHL,102,MEAT,LIVA
2010,ALB,CHL,102,MEAT,LIVA
2011,ALB,CHL,102,MEAT,LIVA
2009,ALB,CHL,103,MEAT,LIVA
2010,ALB,CHL,103,MEAT,LIVA
2011,ALB,CHL,103,MEAT,LIVA
2009,ALB,CHL,104,MEAT,LIVA
2010,ALB,CHL,104,MEAT,LIVA
2011,ALB,CHL,104,MEAT,LIVA
2009,ALB,CHL,105,MEAT,LIVA
2010,ALB,CHL,105,MEAT,LIVA
2011,ALB,CHL,105,MEAT,LIVA
2009,ALB,CHL,106,MEAT,LIVA
2010,ALB,CHL,106,MEAT,LIVA
2011,ALB,CHL,106,MEAT,LIVA
2009,ALB,CHL,201,MEAT,BEEF
2010,ALB,CHL,201,MEAT,BEEF
2011,ALB,CHL,201,MEAT,BEEF
2009,ALB,CHL,202,MEAT,BEEF
2010,ALB,CHL,202,MEAT,BEEF
2011,ALB,CHL,202,MEAT,BEEF
2009,ALB,CHL,203,MEAT,PORK
2010,ALB,CHL,203,MEAT,PORK
2011,ALB,CHL,203,MEAT,PORK
2009,ALB,CHL,204,MEAT,MEAT
2010,ALB,CHL,204,MEAT,MEAT
2011,ALB,CHL,204,MEAT,MEAT
2009,ALB,CHL,205,MEAT,MEAT
2010,ALB,CHL,205,MEAT,MEAT
2011,ALB,CHL,205,MEAT,MEAT
2009,ALB,CHL,206,MEAT,BEEF
2010,ALB,CHL,206,MEAT,BEEF
2011,ALB,CHL,206,MEAT,BEEF
2009,ALB,CHL,207,MEAT,POUL
2010,ALB,CHL,207,MEAT,POUL
2011,ALB,CHL,207,MEAT,POUL
2009,ALB,CHL,208,MEAT,MEAT
2010,ALB,CHL,208,MEAT,MEAT
2011,ALB,CHL,208,MEAT,MEAT
2009,ALB,CHL,209,MEAT,PORK
2010,ALB,CHL,209,MEAT,PORK
2011,ALB,CHL,209,MEAT,PORK
2009,ALB,CHL,210,MEAT,PROM
2010,ALB,CHL,210,MEAT,PROM
2011,ALB,CHL,210,MEAT,PROM
2009,ALB,CHL,501,OTHAG,OTHAN
2010,ALB,CHL,501,OTHAG,OTHAN
2011,ALB,CHL,501,OTHAG,OTHAN
2009,ALB,CHL,502,OTHAG,OTHAN
2010,ALB,CHL,502,OTHAG,OTHAN
2011,ALB,CHL,502,OTHAG,OTHAN
2009,ALB,CHL,504,OTHAG,OTHAN
2010,ALB,CHL,504,OTHAG,OTHAN
2011,ALB,CHL,504,OTHAG,OTHAN
2009,ALB,CHL,505,OTHAG,OTHAN
2010,ALB,CHL,505,OTHAG,OTHAN
2011,ALB,CHL,505,OTHAG,OTHAN
2009,ALB,CHL,506,OTHAG,OTHAN
2010,ALB,CHL,506,OTHAG,OTHAN
2011,ALB,CHL,506,OTHAG,OTHAN
2009,ALB,CHL,507,OTHAG,OTHAN
2010,ALB,CHL,507,OTHAG,OTHAN
2011,ALB,CHL,507,OTHAG,OTHAN
2009,ALB,CHL,508,OTHAG,OTHAN
2010,ALB,CHL,508,OTHAG,OTHAN
2011,ALB,CHL,508,OTHAG,OTHAN
2009,ALB,CHL,510,OTHAG,OTHAN
2010,ALB,CHL,510,OTHAG,OTHAN
2011,ALB,CHL,510,OTHAG,OTHAN
2009,ALB,CHL,511,OTHAG,OTHAN
2010,ALB,CHL,511,OTHAG,OTHAN
2011,ALB,CHL,511,OTHAG,OTHAN
2009,ALB,USA,101,MEAT,LIVA
2010,ALB,USA,101,MEAT,LIVA
2011,ALB,USA,101,MEAT,LIVA
2009,ALB,USA,102,MEAT,LIVA
2010,ALB,USA,102,MEAT,LIVA
2011,ALB,USA,102,MEAT,LIVA
2009,ALB,USA,103,MEAT,LIVA
2010,ALB,USA,103,MEAT,LIVA
2011,ALB,USA,103,MEAT,LIVA
2009,ALB,USA,104,MEAT,LIVA
2010,ALB,USA,104,MEAT,LIVA
2011,ALB,USA,104,MEAT,LIVA
2009,ALB,USA,105,MEAT,LIVA
2010,ALB,USA,105,MEAT,LIVA
2011,ALB,USA,105,MEAT,LIVA
2009,ALB,USA,106,MEAT,LIVA
2010,ALB,USA,106,MEAT,LIVA
2011,ALB,USA,106,MEAT,LIVA
2009,ALB,USA,201,MEAT,BEEF
2010,ALB,USA,201,MEAT,BEEF
2011,ALB,USA,201,MEAT,BEEF
2009,ALB,USA,202,MEAT,BEEF
2010,ALB,USA,202,MEAT,BEEF
2011,ALB,USA,202,MEAT,BEEF
